券商買賣股票成交價量資訊
股票代碼,="2330"
序號,券商,價格,買進股數,賣出股數,,序號,券商,價格,買進股數,賣出股數
1,1020合　　庫,2255.00,1000,1000,,2,1020合　　庫,2260.00,2000,4000 
3,1020合　　庫,2265.00,5854,0,,4,1020合　　庫,2270.00,7212,2330 
5,1020合　　庫,2275.00,12142,1535,,6,1020合　　庫,2280.00,8696,5 
7,1020合　　庫,2285.00,13080,2596,,8,1020合　　庫,2290.00,3388,1105 
9,1020合　　庫,2295.00,930,600,,10,1020合　　庫,2300.00,182,280 
11,1021合庫台中,2255.00,1000,2000,,12,1021合庫台中,2260.00,2000,0 
13,1021合庫台中,2265.00,3903,2000,,14,1021合庫台中,2270.00,7907,1107 
15,1021合庫台中,2275.00,7233,733,,16,1021合庫台中,2280.00,11051,1485 
17,1021合庫台中,2285.00,26235,1272,,18,1021合庫台中,2290.00,2597,0 
19,1021合庫台中,2295.00,1795,1000,,20,1021合庫台中,2300.00,272,0 
21,1022合庫台南,2255.00,1000,0,,22,1022合庫台南,2260.00,2000,0 
23,1022合庫台南,2265.00,2117,2000,,24,1022合庫台南,2270.00,4987,812 
25,1022合庫台南,2275.00,1425,178,,26,1022合庫台南,2280.00,7232,15 
27,1022合庫台南,2285.00,2702,0,,28,1022合庫台南,2290.00,1853,0 
29,1022合庫台南,2295.00,1382,0,,30,1022合庫台南,2300.00,169,0 
31,1023合庫高雄,2260.00,1000,0,,32,1023合庫高雄,2265.00,6685,0 
33,1023合庫高雄,2270.00,4409,1550,,34,1023合庫高雄,2275.00,4805,1224 
35,1023合庫高雄,2280.00,4046,1030,,36,1023合庫高雄,2285.00,2399,10 
37,1023合庫高雄,2290.00,1238,5,,38,1023合庫高雄,2295.00,1258,0 
39,1024合庫嘉義,2255.00,0,1000,,40,1024合庫嘉義,2260.00,4000,2000 
41,1024合庫嘉義,2265.00,299,0,,42,1024合庫嘉義,2270.00,1329,120 
43,1024合庫嘉義,2275.00,639,100,,44,1024合庫嘉義,2280.00,2042,13010 
45,1024合庫嘉義,2285.00,1226,10,,46,1024合庫嘉義,2290.00,728,0 
47,1024合庫嘉義,2295.00,309,0,,48,1025合庫基隆,2255.00,0,11000 
49,1025合庫基隆,2260.00,0,2000,,50,1025合庫基隆,2265.00,115,1000 
51,1025合庫基隆,2270.00,4514,35,,52,1025合庫基隆,2275.00,2328,120 
53,1025合庫基隆,2280.00,5901,1000,,54,1025合庫基隆,2285.00,14817,4010 
55,1025合庫基隆,2290.00,935,80,,56,1025合庫基隆,2295.00,251,400 
57,1025合庫基隆,2300.00,10,0,,58,1028合庫彰化,2260.00,5000,1000 
59,1028合庫彰化,2265.00,1331,2000,,60,1028合庫彰化,2270.00,4410,1019 
61,1028合庫彰化,2275.00,3224,3110,,62,1028合庫彰化,2280.00,8949,0 
63,1028合庫彰化,2285.00,3486,1010,,64,1028合庫彰化,2290.00,566,0 
65,1028合庫彰化,2295.00,1173,10,,66,1028合庫彰化,2300.00,15,18 
67,1029合庫鳳山,2255.00,1000,0,,68,1029合庫鳳山,2265.00,1767,0 
69,1029合庫鳳山,2270.00,3449,0,,70,1029合庫鳳山,2275.00,3206,2100 
71,1029合庫鳳山,2280.00,3969,0,,72,1029合庫鳳山,2285.00,1129,400 
73,1029合庫鳳山,2290.00,635,0,,74,1029合庫鳳山,2295.00,596,0 
75,1029合庫鳳山,2300.00,90,160,,76,102A合庫新竹,2255.00,3000,0 
77,102A合庫新竹,2260.00,1000,0,,78,102A合庫新竹,2265.00,456,0 
79,102A合庫新竹,2270.00,3340,30,,80,102A合庫新竹,2275.00,2756,1000 
81,102A合庫新竹,2280.00,1125,500,,82,102A合庫新竹,2285.00,1774,2542 
83,102A合庫新竹,2290.00,635,3,,84,102A合庫新竹,2295.00,1226,500 
85,102A合庫新竹,2300.00,20,0,,86,102C合庫自強,2265.00,4697,0 
87,102C合庫自強,2270.00,5371,29941,,88,102C合庫自強,2275.00,4998,2250 
89,102C合庫自強,2280.00,2314,1197,,90,102C合庫自強,2285.00,2037,21 
91,102C合庫自強,2290.00,2208,0,,92,102C合庫自強,2295.00,1525,0 
93,102C合庫自強,2300.00,190,4,,94,102E合庫桃園,2255.00,1000,0 
95,102E合庫桃園,2260.00,1000,2000,,96,102E合庫桃園,2265.00,1331,0 
97,102E合庫桃園,2270.00,11028,62,,98,102E合庫桃園,2275.00,4524,110 
99,102E合庫桃園,2280.00,5388,210,,100,102E合庫桃園,2285.00,4491,966 
101,102E合庫桃園,2290.00,571,0,,102,102E合庫桃園,2295.00,608,1000 
103,102E合庫桃園,2300.00,10,0,,104,102F合庫西台,2260.00,1000,1000 
105,102F合庫西台,2265.00,3344,0,,106,102F合庫西台,2270.00,3658,500 
107,102F合庫西台,2275.00,5359,1000,,108,102F合庫西台,2280.00,2244,368 
109,102F合庫西台,2285.00,2666,11,,110,102F合庫西台,2290.00,363,0 
