券商買賣證券成交價量資訊
證券代碼,7810
序號,券商,價格,買進股數,賣出股數
"1","1020 合庫","206","0","18"
"2","1022 合庫台南","204.50","1000","0"
"3","1025 合庫基隆","205","2000","0"
"4","1029 合庫鳳山","205.50","100","0"
"5","104A 臺銀臺中","206","5","5"
"6","104A 臺銀臺中","208","0","5"
"7","111F 台企北高雄","205","50","0"
"8","126X 宏遠新化","206","30","0"
"9","1440 美林證券","203.50","1000","0"
"10","1440 美林證券","204.50","0","1000"
"11","1480 美商高盛亞","202.50","0","1000"
"12","1480 美商高盛亞","207","0","1000"
"13","1560 港商野村","205","0","1000"
"14","5380 第一金證券","205.50","200","0"
"15","5380 第一金證券","207","100","0"
"16","5380 第一金證券","208","100","0"
"17","5853 統一中壢","203","100","0"
"18","585U 統一南京","205.50","0","237"
"19","601d 奔亞鑫豐","205.50","100","0"
"20","6167 中信託松江","205.50","100","0"
"21","616K 中信託高雄","205.50","0","20"
"22","6620 口袋證券","205","1000","0"
"23","7003 兆豐台中","204.50","0","5000"
"24","7003 兆豐台中","205","0","7000"
"25","700R 兆豐小港","205","0","1000"
"26","700V 兆豐新竹","203","1000","0"
"27","7790 國票","203","183","100"
"28","7790 國票","204.50","50","0"
"29","7790 國票","205","50","92"
"30","7790 國票","205.50","0","14"
"31","7790 國票","206","5","0"
"32","779V 國票天祥","203","2000","0"
"33","779V 國票天祥","203.50","4000","0"
"34","779V 國票天祥","205","1000","0"
"35","779V 國票天祥","206.50","1000","0"
"36","779V 國票天祥","207","1000","1000"
"37","779V 國票天祥","208","1000","1000"
"38","779m 國票中港","205","0","1000"
"39","779u 國票長城","204","100","0"
"40","8380 安泰","205","5000","0"
"41","8560 新光","205.50","50","0"
"42","8560 新光","206.50","0","1000"
"43","8563 新光新竹","204","50","0"
"44","8848 玉山嘉義","203","0","3000"
"45","884M 玉山數位","205","1000","0"
"46","8882 國泰台中","205","50","0"
"47","8888 國泰敦南","203","0","136"
"48","8888 國泰敦南","205.50","0","11"
"49","8888 國泰敦南","206","3","0"
"50","888A 國泰館前","205.50","0","2"
"51","9101 群益敦南","204","0","100"
"52","9134 群益開元","203","0","45"
"53","9134 群益開元","204","0","55"
"54","913g 群益三重","203.50","0","1000"
"55","9187 群益彰化","206","2","0"
"56","9187 群益彰化","207","1","0"
"57","918A 群益中壢","205.50","0","150"
"58","918s 群益丹鳳","205.50","1000","0"
"59","920D 凱基市府","202.50","1000","0"
"60","920D 凱基市府","204.50","1000","0"
"61","920D 凱基市府","205.50","0","1000"
"62","9218 凱基大直","206","5","0"
"63","961F 富邦公益","204.50","0","50"
"64","961F 富邦公益","205","0","150"
"65","961F 富邦公益","205.50","0","50"
"66","961F 富邦公益","206","0","50"
"67","961R 富邦南員林","204.50","1000","0"
"68","9624 富邦竹北","205","0","1000"
"69","962C 富邦東門","203.50","1000","0"
"70","962C 富邦東門","204.50","1000","0"
"71","9636 富邦中壢","205","1000","0"
"72","9636 富邦中壢","209","0","1000"
"73","9655 富邦板橋","205","1000","0"
"74","9686 富邦宜蘭","205","92","0"
"75","9692 富邦嘉義","205","1000","0"
"76","9800 元大","205","0","1051"
"77","9800 元大","207","1000","101"
"78","9800 元大","208","0","95"
"79","9814 元大大益","204.50","0","1000"
"80","9814 元大大益","209","1000","0"
"81","9816 元大新竹","203","0","2"
"82","9816 元大新竹","203.50","0","5000"
"83","981B 元大竹北","204.50","0","1000"
"84","981e 元大佳里","204","5","0"
"85","9834 元大中壢","205.50","1000","0"
"86","9854 元大文心興","205.50","0","60"
"87","9862 元大南京","205.50","100","0"
"88","9898 元大新莊","205","50","0"
"89","9899 元大淡水","204.50","1000","0"
"90","9899 元大淡水","205.50","0","1125"
"91","989A 元大北投","206","43","0"
"92","989J 元大彰化","205","1","0"
"93","989U 元大大甲","206","0","20"
"94","9A9P 永豐金竹北","204.50","3000","0"
"95","9B13 台新三民","205.50","0","1"
"96","9B2G 台新新竹","205.50","20","0"
"97","9B2w 台新佳里","205","0","1000"
