券商買賣股票成交價量資訊
股票代碼,="0050"
序號,券商,價格,買進股數,賣出股數,,序號,券商,價格,買進股數,賣出股數
1,1020合　　庫,97.70,2300,2000,,2,1020合　　庫,97.75,1000,1000 
3,1020合　　庫,97.80,4260,0,,4,1020合　　庫,97.85,1835,0 
5,1020合　　庫,97.90,7037,0,,6,1020合　　庫,97.95,4175,0 
7,1020合　　庫,98.00,39860,1000,,8,1020合　　庫,98.05,6188,20000 
9,1020合　　庫,98.10,3120,10000,,10,1020合　　庫,98.15,2602,0 
11,1020合　　庫,98.20,3554,300,,12,1020合　　庫,98.25,2000,0 
13,1020合　　庫,98.30,3220,3000,,14,1020合　　庫,98.35,3255,1000 
15,1020合　　庫,98.40,3737,500,,16,1020合　　庫,98.45,5172,572 
17,1020合　　庫,98.50,16185,13000,,18,1020合　　庫,98.55,3050,0 
19,1020合　　庫,98.60,5740,0,,20,1020合　　庫,98.65,1300,28000 
21,1020合　　庫,98.70,7533,0,,22,1020合　　庫,98.75,4530,5000 
23,1020合　　庫,98.80,4109,0,,24,1020合　　庫,98.85,1550,1000 
25,1020合　　庫,98.90,9217,5000,,26,1020合　　庫,98.95,2320,0 
27,1020合　　庫,99.00,41947,2100,,28,1020合　　庫,99.05,12290,0 
29,1020合　　庫,99.10,11639,1000,,30,1020合　　庫,99.15,1870,500 
31,1020合　　庫,99.20,6470,0,,32,1020合　　庫,99.25,4900,0 
33,1020合　　庫,99.30,33520,3000,,34,1020合　　庫,99.35,2860,9000 
35,1020合　　庫,99.40,5200,0,,36,1020合　　庫,99.45,2000,0 
37,1020合　　庫,99.50,18510,0,,38,1020合　　庫,99.55,7040,0 
39,1020合　　庫,99.60,11920,4350,,40,1020合　　庫,99.65,23390,0 
41,1020合　　庫,99.70,5226,1500,,42,1020合　　庫,99.75,5160,1000 
43,1020合　　庫,99.80,12273,1000,,44,1020合　　庫,99.85,11215,10000 
45,1020合　　庫,99.90,11525,1000,,46,1020合　　庫,99.95,8716,0 
47,1020合　　庫,100.00,16353,6000,,48,1020合　　庫,100.05,5420,0 
49,1020合　　庫,100.10,1300,0,,50,1020合　　庫,100.25,300,9000 
51,1020合　　庫,100.30,611,1000,,52,1020合　　庫,100.35,0,827 
53,1020合　　庫,100.40,10600,0,,54,1020合　　庫,100.45,1000,0 
55,1020合　　庫,100.50,3,0,,56,1021合庫台中,97.60,1000,0 
57,1021合庫台中,97.65,460,0,,58,1021合庫台中,97.70,3270,0 
59,1021合庫台中,97.75,3000,0,,60,1021合庫台中,97.80,4460,0 
61,1021合庫台中,97.85,3280,0,,62,1021合庫台中,97.90,1950,0 
63,1021合庫台中,97.95,730,0,,64,1021合庫台中,98.00,20745,4000 
65,1021合庫台中,98.05,5065,0,,66,1021合庫台中,98.10,14412,0 
67,1021合庫台中,98.15,1465,0,,68,1021合庫台中,98.20,2350,0 
69,1021合庫台中,98.25,4000,1000,,70,1021合庫台中,98.30,4370,0 
71,1021合庫台中,98.35,4306,0,,72,1021合庫台中,98.40,8802,1000 
73,1021合庫台中,98.45,14571,0,,74,1021合庫台中,98.50,13581,1000 
75,1021合庫台中,98.55,200,0,,76,1021合庫台中,98.60,5910,0 
77,1021合庫台中,98.65,6665,400,,78,1021合庫台中,98.70,3503,0 
79,1021合庫台中,98.75,3300,0,,80,1021合庫台中,98.80,14000,0 
81,1021合庫台中,98.85,11038,1000,,82,1021合庫台中,98.90,19851,0 
83,1021合庫台中,98.95,6325,0,,84,1021合庫台中,99.00,19050,1000 
85,1021合庫台中,99.05,3250,0,,86,1021合庫台中,99.10,5760,23000 
87,1021合庫台中,99.15,6700,0,,88,1021合庫台中,99.20,2460,0 
89,1021合庫台中,99.25,1200,0,,90,1021合庫台中,99.30,7970,1000 
91,1021合庫台中,99.35,2600,0,,92,1021合庫台中,99.40,2500,0 
93,1021合庫台中,99.45,10000,23000,,94,1021合庫台中,99.50,22591,0 
95,1021合庫台中,99.55,17271,0,,96,1021合庫台中,99.60,11090,6000 
97,1021合庫台中,99.65,27911,2000,,98,1021合庫台中,99.70,6978,3100 
99,1021合庫台中,99.75,4440,2000,,100,1021合庫台中,99.80,14298,4000 
101,1021合庫台中,99.85,4539,6000,,102,1021合庫台中,99.90,14434,200 
103,1021合庫台中,99.95,6910,67,,104,1021合庫台中,100.00,65610,1000 
105,1021合庫台中,100.05,200,0,,106,1021合庫台中,100.15,6100,0 
107,1021合庫台中,100.20,1328,0,,108,1021合庫台中,100.25,4120,1000 
109,1021合庫台中,100.30,2460,0,,110,1021合庫台中,100.35,4130,100 
111,1021合庫台中,100.40,2000,113,,112,1021合庫台中,100.50,3400,0 
113,1021合庫台中,100.55,650,0,,114,1022合庫台南,97.65,400,0 
115,1022合庫台南,97.70,3301,0,,116,1022合庫台南,97.75,150,0 
117,1022合庫台南,97.80,3300,1000,,118,1022合庫台南,97.85,993,30 
119,1022合庫台南,97.90,1601,0,,120,1022合庫台南,97.95,200,0 
121,1022合庫台南,98.00,16456,0,,122,1022合庫台南,98.05,8710,0 
123,1022合庫台南,98.10,2000,0,,124,1022合庫台南,98.15,360,0 
125,1022合庫台南,98.20,990,0,,126,1022合庫台南,98.30,3000,0 
127,1022合庫台南,98.35,3144,0,,128,1022合庫台南,98.40,1123,0 
129,1022合庫台南,98.45,165,0,,130,1022合庫台南,98.50,15045,8000 
131,1022合庫台南,98.55,422,0,,132,1022合庫台南,98.60,1257,0 
133,1022合庫台南,98.65,2300,0,,134,1022合庫台南,98.70,1653,0 
135,1022合庫台南,98.75,1320,0,,136,1022合庫台南,98.80,2194,0 
137,1022合庫台南,98.85,2100,0,,138,1022合庫台南,98.90,4309,0 
139,1022合庫台南,98.95,7250,0,,140,1022合庫台南,99.00,21684,0 
141,1022合庫台南,99.05,8600,0,,142,1022合庫台南,99.10,1690,0 
143,1022合庫台南,99.15,1031,0,,144,1022合庫台南,99.20,4403,0 
145,1022合庫台南,99.25,1750,0,,146,1022合庫台南,99.30,10405,1000 
147,1022合庫台南,99.35,2470,400,,148,1022合庫台南,99.40,555,0 
149,1022合庫台南,99.45,1025,0,,150,1022合庫台南,99.50,5870,0 
151,1022合庫台南,99.55,3675,11000,,152,1022合庫台南,99.60,23201,26000 
153,1022合庫台南,99.65,4658,600,,154,1022合庫台南,99.70,1460,0 
155,1022合庫台南,99.75,7130,0,,156,1022合庫台南,99.80,6341,0 
157,1022合庫台南,99.85,5663,0,,158,1022合庫台南,99.90,3040,5000 
159,1022合庫台南,99.95,3055,0,,160,1022合庫台南,100.00,19140,4000 
161,1022合庫台南,100.05,2200,1000,,162,1022合庫台南,100.10,1300,0 
163,1022合庫台南,100.20,30,0,,164,1022合庫台南,100.25,10710,0 
165,1022合庫台南,100.30,1190,1000,,166,1022合庫台南,100.35,100,20 
167,1022合庫台南,100.40,220,1000,,168,1022合庫台南,100.45,50,0 
169,1022合庫台南,100.55,121,0,,170,1023合庫高雄,97.60,3000,0 
171,1023合庫高雄,97.65,1000,0,,172,1023合庫高雄,97.70,1250,0 
173,1023合庫高雄,97.75,1000,0,,174,1023合庫高雄,97.80,2500,6000 
175,1023合庫高雄,97.85,30,2000,,176,1023合庫高雄,97.90,2300,0 
177,1023合庫高雄,97.95,3030,0,,178,1023合庫高雄,98.00,11000,50 
179,1023合庫高雄,98.05,4160,4000,,180,1023合庫高雄,98.10,5310,0 
181,1023合庫高雄,98.15,1235,1000,,182,1023合庫高雄,98.20,1300,0 
183,1023合庫高雄,98.25,2430,48,,184,1023合庫高雄,98.30,3000,1000 
185,1023合庫高雄,98.35,100,0,,186,1023合庫高雄,98.40,3950,0 
187,1023合庫高雄,98.45,1220,0,,188,1023合庫高雄,98.50,18700,0 
189,1023合庫高雄,98.55,350,0,,190,1023合庫高雄,98.60,3840,0 
191,1023合庫高雄,98.65,1250,0,,192,1023合庫高雄,98.70,11150,0 
193,1023合庫高雄,98.75,820,0,,194,1023合庫高雄,98.80,12110,0 
195,1023合庫高雄,98.85,4741,265,,196,1023合庫高雄,98.90,2700,14000 
197,1023合庫高雄,98.95,1400,0,,198,1023合庫高雄,99.00,42791,0 
199,1023合庫高雄,99.05,3130,0,,200,1023合庫高雄,99.10,3030,259 
201,1023合庫高雄,99.20,560,0,,202,1023合庫高雄,99.25,1200,0 
203,1023合庫高雄,99.30,4530,0,,204,1023合庫高雄,99.35,13630,0 
205,1023合庫高雄,99.40,1220,0,,206,1023合庫高雄,99.45,8000,0 
207,1023合庫高雄,99.50,14300,0,,208,1023合庫高雄,99.55,6280,0 
