session_date,run_slot,finished_utc,rows
2026-07-13,primary,2026-07-13T13:43:15Z,48
2026-07-13,backupB,2026-07-13T20:14:55Z,48
2026-07-14,primary,2026-07-14T12:34:00Z,48
2026-07-14,backupB,2026-07-14T20:07:36Z,48
2026-07-15,primary,2026-07-15T11:58:09Z,48
2026-07-15,backupB,2026-07-15T20:02:40Z,48
2026-07-16,primary,2026-07-16T12:04:21Z,48
2026-07-16,backupB,2026-07-16T19:57:29Z,48
2026-07-17,primary,2026-07-17T11:59:30Z,48
2026-07-20,primary,2026-07-20T12:37:17Z,48
2026-07-21,primary,2026-07-21T12:12:43Z,48
2026-07-21,backupB,2026-07-21T20:18:06Z,48
2026-07-22,primary,2026-07-22T12:13:42Z,50
2026-07-22,backupB,2026-07-22T20:09:47Z,50
2026-07-23,primary,2026-07-23T12:14:32Z,50
